item_code,item_name,manufacturer,description,quantity,unit_of_measure
1,GOOD PHARM - שקית אל בד גדול,לא ידוע,GOOD PHARM - שקית אל בד גדול,1,1 יח'
1025,הנחת קופון האגיס ערכת הריון ולידה,לא ידוע,הנחת קופון האגיס ערכת הריון ולידה,1,1 יח'
42207443,"ניוואה - סופט קרם רב שימושי 50 מ""ל",לא ידוע,"ניוואה - סופט קרם רב שימושי 50 מ""ל",50,"100 מ""ל"
42246640,"ניוואה - דאודורנט רול און לאישה פאודר טאצ' 50 מ""ל",לא ידוע,"ניוואה - דאודורנט רול און לאישה פאודר טאצ' 50 מ""ל",50,"100 מ""ל"
60017505,"דאב - דאודורנט רול און לאישה מלפפונים ופרש טי 50 מ""ל",לא ידוע,"דאב - דאודורנט רול און לאישה מלפפונים ופרש טי 50 מ""ל",50,"100 מ""ל"
72909768,עלית - חטיף פסק זמן פור פליי 40 גרם,שטראוס גרופ,עלית - חטיף פסק זמן פור פליי 40 גרם,40,100 גרם
72917329,עלית - חטיף אגוזי 45 גרם,שטראוס גרופ,עלית - חטיף אגוזי 45 גרם,45,100 גרם
72917589,עלית - חטיף מקופלת 25 גרם,שטראוס גרופ,עלית - חטיף מקופלת 25 גרם,25,100 גרם
72991008,עלית - חטיף פסק זמן 45 גרם,שטראוס גרופ,עלית - חטיף פסק זמן 45 גרם,45,100 גרם
80135876,נוטלה - ממרח אגוזי לוז עם קקאו 400 גרם,פררו תעשיות איטליה ס.ר.ל.,נוטלה - ממרח אגוזי לוז עם קקאו 400 גרם,400,100 גרם
80136194,קינדר - הפי היפו אגוזי לוז 20.7 גרם * חמישייה,פררו תעשיות איטליה ס.ר.ל.,קינדר - הפי היפו אגוזי לוז 20.7 גרם * חמישייה,103.5,100 גרם
80831402,"מנטוס - סוכריות קלין ברט בטעם מנטה עדינה 21 גרם לל""ס כשל""פ",פרפטי ואן מילה,"מנטוס - סוכריות קלין ברט בטעם מנטה עדינה 21 גרם לל""ס כשל""פ",21,100 גרם
80986348,"מנטוס - בקבוקון פיור וייט מנטוס בטעם מנטה 60 גרם לל""ס","פרפטי ואן מלה ג'ידה,סאן וה טיק מרקז מאך","מנטוס - בקבוקון פיור וייט מנטוס בטעם מנטה 60 גרם לל""ס",60,100 גרם
16000548404,נייטשר ואלי - קראנצ'י שיבולת שועל דבש 42 גרם * חמישייה,ג'נרל מילס סאן אדריאן,נייטשר ואלי - קראנצ'י שיבולת שועל דבש 42 גרם * חמישייה,210,100 גרם
33984003101,"סולגאר - ביוטין 1000 מ""ג 50 כמוסות","סולגאר בע""מ","סולגאר - ביוטין 1000 מ""ג 50 כמוסות",50,1 יח'
38000232176,פרינגלס - שמנת בצל 158 גרם,לא ידוע,פרינגלס - שמנת בצל 158 גרם,158,100 גרם
50000100347,"פורינה - פריסקיז מזון לחתול מועשר בחלב 1.43 ק""ג",לא ידוע,"פורינה - פריסקיז מזון לחתול מועשר בחלב 1.43 ק""ג",1430,100 גרם
305210437371,וזלין - מיני לשפתיים ורוד,"יוניליוור ארה""ב",וזלין - מיני לשפתיים ורוד,1,1 יח'
305213079004,"וזלין - תחליב גוף לחות מזינה מונע יובש 600 מ""ל","יוניליוור ארה""ב","וזלין - תחליב גוף לחות מזינה מונע יובש 600 מ""ל",600,"100 מ""ל"
651080161510,פלאקרס - קיסם עם חוט דנטלי פלוסר 35 יח',רניר-אומגה,פלאקרס - קיסם עם חוט דנטלי פלוסר 35 יח',35,1 יח'
651080647519,פלאקרס - קיסם עם חוט דנטלי מנטה 36 יח',רניר-אומגה,פלאקרס - קיסם עם חוט דנטלי מנטה 36 יח',36,1 יח'
693493104838,"GOOD PHARM - אגד חבישה מתמתח רוחב 5 ס""מ 5 יח'",לא ידוע,"GOOD PHARM - אגד חבישה מתמתח רוחב 5 ס""מ 5 יח'",5,1 יח'
693493104951,GOOD PHARM - פדים קוסמטיים להסרת איפור 80 יח' שלישייה,לא ידוע,GOOD PHARM - פדים קוסמטיים להסרת איפור 80 יח' שלישייה,240,1 יח'
693493105033,GOOD PHARM - ספוג רחצה עגול,"הי, לימיטד. בע""מ",GOOD PHARM - ספוג רחצה עגול,1,1 יח'
693493105101,GOOD PHARM - סכיני גילוח שקית 10 יח',"אן. הייץ, רייזור, לימיטד",GOOD PHARM - סכיני גילוח שקית 10 יח',10,1 יח'
693493105323,"GOOD PHARM - פד סטרילי דביק 10*10 ס""מ 5 יח'",לא ידוע,"GOOD PHARM - פד סטרילי דביק 10*10 ס""מ 5 יח'",5,1 יח'
693493105439,GOOD PHARM - קיסמי מברשת סיליקון לשיניים 30 יח',"וין טרייד, אל.טי.די",GOOD PHARM - קיסמי מברשת סיליקון לשיניים 30 יח',30,1 יח'
693493105538,GOOD PHARM - משטחי החתלה מאויירים 10 יח',לא ידוע,GOOD PHARM - משטחי החתלה מאויירים 10 יח',10,1 יח'
693493105651,GOOD PHARM - רצועות שעווה לגוף אלוורה 20 יח',לא ידוע,GOOD PHARM - רצועות שעווה לגוף אלוורה 20 יח',20,1 יח'
693493105668,GOOD PHARM - רצועות שעווה לפנים אלוורה 20 יח',לא ידוע,GOOD PHARM - רצועות שעווה לפנים אלוורה 20 יח',20,1 יח'
799439301368,"אקסלנס - שמפו לחפיפה וצביעה לשיער שחור 500 מ""ל",גיוואיסי,"אקסלנס - שמפו לחפיפה וצביעה לשיער שחור 500 מ""ל",500,"100 מ""ל"
3014260294250,ג'ילט - בלו 2 פלוס סכיני גילוח חד פעמי 6 יח',פרוקטר אנד גמבל,ג'ילט - בלו 2 פלוס סכיני גילוח חד פעמי 6 יח',6,1 יח'
3034250007813,קלינקס - ממחטות טישו כיס תריסר,קימברלי קלארק איטליה,קלינקס - ממחטות טישו כיס תריסר,12,1 יח'
3059944021197,"ויט - קרם להסרת שיער לעור רגיש 400 מ""ל",RECKITT BENCKISER CHARTRES,"ויט - קרם להסרת שיער לעור רגיש 400 מ""ל",400,"100 מ""ל"
3355991003019,"בוגארט - Silver Scent Intense א.ד.ט לגבר 100 מ""ל",BOGART GROUP,"בוגארט - Silver Scent Intense א.ד.ט לגבר 100 מ""ל",100,"100 מ""ל"
3386461515671,"לנווין - Eclat D'arpege א.ד.פ לאישה 100 מ""ל",לא ידוע,"לנווין - Eclat D'arpege א.ד.פ לאישה 100 מ""ל",100,"100 מ""ל"
3504105024932,"מוסטלה - משחת החתלה 100 מ""ל",לא ידוע,"מוסטלה - משחת החתלה 100 מ""ל",100,"100 מ""ל"
3574661552576,קרפרי - קוטון פלקסיפורם מגן תחתון רגיל טנגה ללא בישום 56 יח',JNTL Consumer Health I (Switzerland,קרפרי - קוטון פלקסיפורם מגן תחתון רגיל טנגה ללא בישום 56 יח',56,1 יח'
3574661561226,"ליסטרין - מי פה אדוונס 600 מ""ל",לא ידוע,"ליסטרין - מי פה אדוונס 600 מ""ל",600,"100 מ""ל"
3574661610344,"ניוטרוג'ינה - קרם לחות אינטנסיבי 300 מ""ל",JNTL Consumer Health I (Switzerland,"ניוטרוג'ינה - קרם לחות אינטנסיבי 300 מ""ל",300,"100 מ""ל"
3600523985326,"לוריאל - רויטליפט לייזר x3 קרם יום 50 מ""ל SPF25",לא ידוע,"לוריאל - רויטליפט לייזר x3 קרם יום 50 מ""ל SPF25",50,"100 מ""ל"
3600524163075,"לוריאל - אלביב שמפו Hydra Hyaluronic ממלא בלחות עד 72 שעות 500 מ""ל",RAMBOUILLET,"לוריאל - אלביב שמפו Hydra Hyaluronic ממלא בלחות עד 72 שעות 500 מ""ל",500,"100 מ""ל"
3600524163198,"לוריאל - אלביב מרכך Color Protect מטפח ומגן על צבע השיער 500 מ""ל",RAMBOUILLET,"לוריאל - אלביב מרכך Color Protect מטפח ומגן על צבע השיער 500 מ""ל",500,"100 מ""ל"
3600524166694,"לוריאל - אלביב שמפו Hydra Pure מטהר עד 72 שעות 500 מ""ל",RAMBOUILLET,"לוריאל - אלביב שמפו Hydra Pure מטהר עד 72 שעות 500 מ""ל",500,"100 מ""ל"
3600524167097,"לוריאל - אלביב שמפו Color Protect מטפח ושומר על צבע השיער 500 מ""ל",RAMBOUILLET,"לוריאל - אלביב שמפו Color Protect מטפח ושומר על צבע השיער 500 מ""ל",500,"100 מ""ל"
3600524230456,"לוריאל - אלביב שמפו גליקוליק גלוס מעצים ברק 500 מ""ל",RAMBOUILLET,"לוריאל - אלביב שמפו גליקוליק גלוס מעצים ברק 500 מ""ל",500,"100 מ""ל"
3600524244842,"לוריאל - אלביב מסכה לשיער קולור פרוטקט 300 מ""ל",מיוצר באיחוד האירופי,"לוריאל - אלביב מסכה לשיער קולור פרוטקט 300 מ""ל",300,"100 מ""ל"
3600524246907,"לוריאל - אלביב מסכה לשיער גליקוליק גלוס 300 מ""ל",מיוצר באיחוד האירופי,"לוריאל - אלביב מסכה לשיער גליקוליק גלוס 300 מ""ל",300,"100 מ""ל"
3600531143459,מייבלין - מסקרה לאש שחור,לא ידוע,מייבלין - מסקרה לאש שחור,1,1 יח'
3600531511630,אססי - טיפול APRICOT,לא ידוע,אססי - טיפול APRICOT,1,1 יח'
3600531511654,אססי - טיפול 3 ב-1,לא ידוע,אססי - טיפול 3 ב-1,1,1 יח'
3600542052788,"גרנייה - בוטניקל חלב פנים ורדים 200 מ""ל",לא ידוע,"גרנייה - בוטניקל חלב פנים ורדים 200 מ""ל",200,"100 מ""ל"
3600542385329,גרנייה - מסכת טישו מסק תה ירוק,לא ידוע,גרנייה - מסכת טישו מסק תה ירוק,1,1 יח'
3600542431910,גרנייה - קולור נטורלס 2.1 שחור כחול,לא ידוע,גרנייה - קולור נטורלס 2.1 שחור כחול,1,1 יח'
3600542591522,גרנייה - אוליה צבע שיער ללא אמוניה 3.0 חום שחור,איחוד אירופי,גרנייה - אוליה צבע שיער ללא אמוניה 3.0 חום שחור,1,1 יח'
3614223113347,"קלואה - Nomade א.ד.פ לאישה 75 מ""ל",לא ידוע,"קלואה - Nomade א.ד.פ לאישה 75 מ""ל",75,"100 מ""ל"
3838824127248,פאלטה - אינטנסיב 5-0 חום בהיר,לא ידוע,פאלטה - אינטנסיב 5-0 חום בהיר,1,1 יח'
3838824171241,פאלטה - נטורלס 8-0 בלונד בהיר,לא ידוע,פאלטה - נטורלס 8-0 בלונד בהיר,1,1 יח'
3838824171289,פאלטה - נטורלס 7-0 בלונד בינוני,לא ידוע,פאלטה - נטורלס 7-0 בלונד בינוני,1,1 יח'
3838824414492,פאלטה - אינטנסיב 6-88 אדום בוער,לא ידוע,פאלטה - אינטנסיב 6-88 אדום בוער,1,1 יח'
4000417222008,"ריטר - שוקולד חלב עם שברי אגוזי לוז 100 גרם כשל""פ",אלפרד ריטר,"ריטר - שוקולד חלב עם שברי אגוזי לוז 100 גרם כשל""פ",100,100 גרם
4005808368280,לבלו - שפתון דובדבן בליסטר,לא ידוע,לבלו - שפתון דובדבן בליסטר,1,1 יח'
4005808502004,לבלו - שפתון סופט ורוד בליסטר,לא ידוע,לבלו - שפתון סופט ורוד בליסטר,1,1 יח'
4005808828838,"ניוואה - דאו ספריי 150 מ""ל לגבר קול קיק 150 מ""ל",לא ידוע,"ניוואה - דאו ספריי 150 מ""ל לגבר קול קיק 150 מ""ל",150,"100 מ""ל"
4005808837359,"ניוואה - דאודורנט רול און לאישה פרל אנד ביוטי 50 מ""ל",לא ידוע,"ניוואה - דאודורנט רול און לאישה פרל אנד ביוטי 50 מ""ל",50,"100 מ""ל"
4005900036506,"ניוואה - דאודורנט רול און לגבר שקוף בלק 50 מ""ל",לא ידוע,"ניוואה - דאודורנט רול און לגבר שקוף בלק 50 מ""ל",50,"100 מ""ל"
4005900273482,לבלו - שפתון אוכמניות בליסטר,לא ידוע,לבלו - שפתון אוכמניות בליסטר,1,1 יח'
4005900485243,"ניוואה - דאודורנט רול און לגבר דריי פרש 50 מ""ל",לא ידוע,"ניוואה - דאודורנט רול און לגבר דריי פרש 50 מ""ל",50,"100 מ""ל"
4005900494900,"ניוואה - דאו ספריי 150 מ""ל לגבר דריי פרש 150 מ""ל",לא ידוע,"ניוואה - דאו ספריי 150 מ""ל לגבר דריי פרש 150 מ""ל",150,"100 מ""ל"
4005900513069,"ניוואה - דאודורנט רול און לגבר דיפ 50 מ""ל",לא ידוע,"ניוואה - דאודורנט רול און לגבר דיפ 50 מ""ל",50,"100 מ""ל"
4005900747976,"ניוואה - תחליב רחצה וטיפוח קוקוס ושמן חוחובה 500 מ""ל",ביירסדורף,"ניוואה - תחליב רחצה וטיפוח קוקוס ושמן חוחובה 500 מ""ל",500,"100 מ""ל"
4006387144715,בריטה - שלישיית פילטרים מקסטרה פרו מומחה הפחתת אבנית,לא ידוע,בריטה - שלישיית פילטרים מקסטרה פרו מומחה הפחתת אבנית,3,1 יח'
4008400170428,פררו - בונבוניירה לב 125 גרם,פררו תעשיות איטליה ס.ר.ל.,פררו - בונבוניירה לב 125 גרם,125,100 גרם
4008600398523,"נוק - אקשן קאפ כוס מעבר ורוד 230 מ""ל",NEWELL BRANDS GERMANY GMBH (MAPA),"נוק - אקשן קאפ כוס מעבר ורוד 230 מ""ל",1,1 יח'
4009900402965,"אורביט - בקבוקון וויט בטעם פירות 64 גרם לל""ס",לא ידוע,"אורביט - בקבוקון וויט בטעם פירות 64 גרם לל""ס",64,100 גרם
4009900403023,"אורביט - בקבוקון וויט קלאסי בטעם מנטה 64 גרם לל""ס",לא ידוע,"אורביט - בקבוקון וויט קלאסי בטעם מנטה 64 גרם לל""ס",64,100 גרם
4009900420198,אורביט - בקבוקון בטעם אבטיח 64 גרם,לא ידוע,אורביט - בקבוקון בטעם אבטיח 64 גרם,64,100 גרם
4009900585644,סקיטלס - סוכריות קינוחים 152 גרם,מרס ריגלי,סקיטלס - סוכריות קינוחים 152 גרם,152,100 גרם
4014400920857,"וורטר - סוכריות שוקולד בשקית 70 גרם לל""ס",שטורק,"וורטר - סוכריות שוקולד בשקית 70 גרם לל""ס",70,100 גרם
4045787068375,אינדולה - פרוטאין צבע 6 בלונד כהה,לא ידוע,אינדולה - פרוטאין צבע 6 בלונד כהה,1,1 יח'
4059729276759,קטריס - עיפרון תוחם שפתיים גוון 100,לא ידוע,קטריס - עיפרון תוחם שפתיים גוון 100,1,1 יח'
4059729419293,"קטריס - מייק אפ לכיסוי קליל גוון 010 30 מ""ל",לא ידוע,"קטריס - מייק אפ לכיסוי קליל גוון 010 30 מ""ל",30,"100 מ""ל"
4059729514462,קטריס - איילינר עמיד במים גוון 010,קוסנובה,קטריס - איילינר עמיד במים גוון 010,1,1 יח'
4059729523693,קטריס - ברונזר קרם במרקם מט C02,קוסנובה,קטריס - ברונזר קרם במרקם מט C02,1,1 יח'
